,mean_jun06,mean_jun19,mean_aug14,mean_oct13,delta_aug14_jun19,delta_oct13_aug14,flood_frac_avg,traj_slope,traj_range,traj_curvature
adapter_dim_0,0.3320968451961268,0.27890591005574467,0.29391158024590436,0.15697286251373826,-0.13709525036850692,-0.3048842347556265,-0.2950257430514074,-0.3446234240484589,0.13783687320855695,-0.2533672239254847
adapter_dim_1,0.07136699938401932,0.06017877818325627,0.09833430947920736,0.2222363363905927,0.006168139551328222,-0.008710135239665285,-0.06924493470119542,0.029055943202784564,-0.08907897916565324,-0.04178154988786299
adapter_dim_2,-0.16745812981656552,-0.13578002502953732,-0.14058920603181396,0.034089830779045094,0.04052126554648799,0.20585282294926063,0.16503156189516505,0.22254753228071103,0.1707391154867996,0.16041706494341298
adapter_dim_3,0.17875556087232536,0.11421566551877432,0.168145683386507,0.26854778334700885,-0.007608724488431053,-0.07616587073727961,-0.1327940064316881,-0.06023220977282625,-0.2566717015813574,-0.07226832555522276
adapter_dim_4,-0.014037417544824753,-0.1760935870700537,-0.07469456851790353,-0.3689527692624367,0.2896663913367866,-0.10340381084460126,0.10807002232037456,-0.03656072172254868,-0.13825882329508657,-0.0043826831099890145
adapter_dim_5,0.059371396147931625,0.03749761459401934,0.04644831942456618,-0.164752901320685,0.030715757025850932,-0.15238519980168685,-0.0479742746009446,-0.14365289091672312,0.2890828938871611,-0.11439781170546773
adapter_dim_6,0.04739605065292399,0.0002695550664910401,0.03120192859224577,-0.00481607115564793,0.023247496861938208,-0.04417478733261605,-0.01823317889055754,-0.03646149810936218,0.04298972476324318,-0.023018157384026152
adapter_dim_7,0.008019647843432738,-0.03718075389069988,-0.05978106804162126,-0.29913567243319816,0.021128810113370963,-0.08487346902130746,0.0028815129762169976,-0.13672382350410112,0.13631570666541343,-0.000890085486592353
adapter_dim_8,0.020346306124451423,-0.24142912170834013,-0.09416871791916454,-0.5656416107171028,0.42790069963497795,-0.1856067674678216,0.1551936654505102,-0.11150803818701326,0.2180619035812572,-0.014320440100526001
adapter_dim_9,0.06346725792763526,0.13383616142438642,0.0259280299512879,0.051288335397649515,-0.2532053162360138,-0.006314563294039317,-0.09869429265717049,-0.13728621601406218,0.1050323201236816,0.009706520253082622
